date,value
28-07-2021,7.7552
29-07-2021,7.7521
30-07-2021,7.7176
31-07-2021,7.7176
01-08-2021,7.7176
02-08-2021,7.6604
03-08-2021,7.6324
04-08-2021,7.6053
05-08-2021,7.6972
06-08-2021,7.7641
07-08-2021,7.7641
08-08-2021,7.7641
09-08-2021,7.78
10-08-2021,7.8269
11-08-2021,7.7855
12-08-2021,7.7685
13-08-2021,7.7451
14-08-2021,7.7451
15-08-2021,7.7451
16-08-2021,7.7206
17-08-2021,7.7251
18-08-2021,7.6794
19-08-2021,7.6987
20-08-2021,7.7395
21-08-2021,7.7395
22-08-2021,7.7395
23-08-2021,7.7561
24-08-2021,7.6696
25-08-2021,7.6468
26-08-2021,7.6135
27-08-2021,7.57
28-08-2021,7.57
29-08-2021,7.57
30-08-2021,7.57
31-08-2021,7.5884
01-09-2021,7.5393
02-09-2021,7.4941
03-09-2021,7.4937
04-09-2021,7.4937
05-09-2021,7.4937
06-09-2021,7.5248
07-09-2021,7.5147
08-09-2021,7.5291
09-09-2021,7.6054
10-09-2021,7.6819
11-09-2021,7.6819
12-09-2021,7.6819
13-09-2021,7.6271
14-09-2021,7.6509
15-09-2021,7.6421
16-09-2021,7.688
17-09-2021,7.698
18-09-2021,7.698
19-09-2021,7.698
20-09-2021,7.7731
21-09-2021,7.8821
22-09-2021,7.8596
23-09-2021,7.8661
24-09-2021,7.8569
25-09-2021,7.8569
26-09-2021,7.8569
27-09-2021,7.9685
28-09-2021,7.9493
